id,location_id,attention,address_1,address_2,city,region,state_province,postal_code,country,address_type
addr-370077,loc-370077,NA,306 S. 1st Street,NA,Guttenberg,NA,IA,52052,US,physical
addr-370078,loc-370078,NA,402 5th Street,NA,Victor,NA,IA,52347,US,physical
addr-370079,loc-370079,NA,402 5th St.,NA,Victor,NA,IA,52347,US,physical
addr-370080,loc-370080,NA,309 S St,NA,Hamburg,NA,IA,51640,US,physical
addr-370081,loc-370081,NA,309 S St,NA,Hamburg,NA,IA,51640,US,physical
addr-370082,loc-370082,NA,309 S Street,NA,Hamburg,NA,IA,51640,US,physical
addr-370083,loc-370083,NA,101 12th Ave NW,NA,Hampton,NA,IA,50441,US,physical
addr-370084,loc-370084,NA,601 12th Ave NE,NA,Hampton,NA,IA,50441,US,physical
addr-370085,loc-370085,NA,114 11th Place NE,NA,Hampton,NA,IA,50441,US,physical
addr-370086,loc-370086,NA,507 4th Ave SE,NA,Hampton,NA,IA,50441,US,physical
addr-370087,loc-370087,NA,2102 Durant,NA,Harlan,NA,IA,51537,US,physical
addr-370088,loc-370088,NA,2108 Durant Street,NA,Harlan,NA,IA,51537,US,physical
addr-370089,loc-370089,NA,2105 Durant St,NA,Harlan,NA,IA,51537,US,physical
addr-370090,loc-370090,NA,1401 19th St,NA,Harlan,NA,IA,51537,US,physical
addr-370091,loc-370091,NA,400 3rd St NW,NA,Hartley,NA,IA,51346,US,physical
addr-370092,loc-370092,NA,300 N 8th Ave W,NA,Hartley,NA,IA,51346,US,physical
addr-370093,loc-370093,NA,509 Main St.,NA,Sanborn,NA,IA,51248,US,physical
addr-370094,loc-370094,NA,1715 Vine Avenue,NA,Riverside,NA,IA,52327,US,physical
addr-370095,loc-370095,NA,1715 Vine Avenue,NA,Riverside,NA,IA,52327,US,physical
addr-370096,loc-370096,NA,220 Schnoebelen Street,NA,Riverside,NA,IA,52327,US,physical
addr-370097,loc-370097,NA,315 West Grand,NA,Hinton,NA,IA,51024,US,physical
addr-370098,loc-370098,NA,315 W. Grand,NA,Hinton,NA,IA,51024,US,physical
addr-370099,loc-370099,NA,315 W. Grand,NA,Hinton,NA,IA,51024,US,physical
addr-370100,loc-370100,NA,1000 4th Ave East,NA,Cresco,NA,IA,52136,US,physical
addr-370101,loc-370101,NA,1000 Schroder Dr,NA,Cresco,NA,IA,52136,US,physical
addr-370102,loc-370102,NA,1135 Canterbury St.,NA,Cresco,NA,IA,52136,US,physical
addr-370103,loc-370103,NA,1000 4th Ave E,NA,Cresco,NA,IA,52136,US,physical
addr-370104,loc-370104,NA,200 E. Chestnut,NA,Hubbard,NA,IA,50122,US,physical
addr-370105,loc-370105,NA,501 Isabella,NA,Radcliffe,NA,IA,50230,US,physical
