id,service_id,location_id,phone_id,name,code,note
lang-444-english,svc-444,loc-444,NA,English,NA,NA
lang-445-english,svc-445,loc-445,NA,English,NA,NA
lang-446-english,svc-446,loc-446,NA,English,NA,NA
lang-447-english,svc-447,loc-447,NA,English,NA,NA
lang-448-english,svc-448,loc-448,NA,English,NA,NA
lang-449-english,svc-449,loc-449,NA,English,NA,NA
lang-450-english,svc-450,loc-450,NA,English,NA,NA
lang-451-english,svc-451,loc-451,NA,English,NA,NA
lang-452-english,svc-452,loc-452,NA,English,NA,NA
lang-453-english,svc-453,loc-453,NA,English,NA,NA
lang-454-english,svc-454,loc-454,NA,English,NA,NA
lang-455-english,svc-455,loc-455,NA,English,NA,NA
lang-456-english,svc-456,loc-456,NA,English,NA,NA
lang-457-english,svc-457,loc-457,NA,English,NA,NA
lang-458-english,svc-458,loc-458,NA,English,NA,NA
lang-459-english,svc-459,loc-459,NA,English,NA,NA
lang-460-english,svc-460,loc-460,NA,English,NA,NA
lang-461-english,svc-461,loc-461,NA,English,NA,NA
lang-462-english,svc-462,loc-462,NA,English,NA,NA
lang-463-english,svc-463,loc-463,NA,English,NA,NA
lang-464-english,svc-464,loc-464,NA,English,NA,NA
lang-465-english,svc-465,loc-465,NA,English,NA,NA
lang-466-english,svc-466,loc-466,NA,English,NA,NA
lang-468-english,svc-468,loc-468,NA,English,NA,NA
lang-469-english,svc-469,loc-469,NA,English,NA,NA
lang-470-english,svc-470,loc-470,NA,English,NA,NA
lang-471-english,svc-471,loc-471,NA,English,NA,NA
lang-472-english,svc-472,loc-472,NA,English,NA,NA
lang-473-english,svc-473,loc-473,NA,English,NA,NA
lang-474-english,svc-474,loc-474,NA,English,NA,NA
lang-475-english,svc-475,loc-475,NA,English,NA,NA
lang-476-english,svc-476,loc-476,NA,English,NA,NA
lang-477-english,svc-477,loc-477,NA,English,NA,NA
lang-478-english,svc-478,loc-478,NA,English,NA,NA
lang-479-english,svc-479,loc-479,NA,English,NA,NA
lang-480-english,svc-480,loc-480,NA,English,NA,NA
lang-481-english,svc-481,loc-481,NA,English,NA,NA
lang-482-english,svc-482,loc-482,NA,English,NA,NA
lang-483-english,svc-483,loc-483,NA,English,NA,NA
lang-484-english,svc-484,loc-484,NA,English,NA,NA
lang-485-english,svc-485,loc-485,NA,English,NA,NA
lang-488-english,svc-488,loc-488,NA,English,NA,NA
lang-491-english,svc-491,loc-491,NA,English,NA,NA
lang-492-english,svc-492,loc-492,NA,English,NA,NA
lang-493-english,svc-493,loc-493,NA,English,NA,NA
lang-494-english,svc-494,loc-494,NA,English,NA,NA
lang-495-english,svc-495,loc-495,NA,English,NA,NA
lang-497-english,svc-497,loc-497,NA,English,NA,NA
lang-498-english,svc-498,loc-498,NA,English,NA,NA
lang-499-english,svc-499,loc-499,NA,English,NA,NA
lang-500-english,svc-500,loc-500,NA,English,NA,NA
lang-502-english,svc-502,loc-502,NA,English,NA,NA
lang-503-english,svc-503,loc-503,NA,English,NA,NA
lang-504-english,svc-504,loc-504,NA,English,NA,NA
lang-505-english,svc-505,loc-505,NA,English,NA,NA
lang-510-english,svc-510,loc-510,NA,English,NA,NA
lang-511-english,svc-511,loc-511,NA,English,NA,NA
